Gene ID,Gene Name,Cluster 1 Weight,Cluster 1 UMI counts/cell,Cluster 2 Weight,Cluster 2 UMI counts/cell
ENSG00000250067,YJEFN3,-75.309051520443717,0.00067136623027861698,75.309051520442381,0.0062893081761006293
ENSG00000105717,PBX4,-64.38895744103624,0.0,64.38895744103327,0.0020964360587002098
ENSG00000064547,LPAR2,-139.86350293253543,0.0,139.86350293253869,0.028301886792452831
ENSG00000089639,GMIP,-258.09538336545234,0.00067136623027861698,258.09538336546638,0.041928721174004195
ENSG00000105726,ATP13A1,-253.62824100393743,0.0080563947633434038,253.62824100394312,0.080712788259958076
ENSG00000181896,ZNF101,-168.00327922554587,0.00067136623027861698,168.00327922553652,0.024109014675052411
ENSG00000105708,ZNF14,-18.165075854950903,0.001342732460557234,18.165075854951169,0.0052410901467505244
ENSG00000266904,LINC00663,-51.622522938869665,0.00033568311513930849,51.622522938874184,0.0031446540880503146
ENSG00000081665,ZNF506,-135.43095147386396,0.0016784155756965425,135.43095147387487,0.019916142557651992
ENSG00000256771,ZNF253,-145.62341106992281,0.0023497818059751594,145.62341106991437,0.028301886792452831
ENSG00000184635,ZNF93,-212.06788545427398,0.00067136623027861698,212.06788545425673,0.042976939203354297
ENSG00000197124,ZNF682,-72.900904404772419,0.0,72.900904404773229,0.0031446540880503146
ENSG00000213988,ZNF90,-330.8653546112331,0.0043638804968110104,330.86535461121252,0.093291404612159332
ENSG00000267383,CTC-260E6.6,-15.319606410470621,0.001342732460557234,15.319606410467644,0.0041928721174004195
ENSG00000256229,ZNF486,-92.976190599549597,0.0,92.97619059955322,0.0041928721174004195
ENSG00000188171,ZNF626,-155.13935803440467,0.0053709298422289359,155.13935803439458,0.042976939203354297
ENSG00000160229,ZNF66,0.54445635862638031,0.00067136623027861698,-0.54445635862484476,0.0010482180293501049
ENSG00000105750,ZNF85,-216.62498039313539,0.015441423296408191,216.62498039312936,0.095387840670859536
ENSG00000118620,ZNF430,-215.69746449548313,0.011077542799597181,215.69746449545934,0.080712788259958076
ENSG00000160352,ZNF714,-185.70297960763148,0.0026854649211144679,185.70297960763082,0.033542976939203356
ENSG00000196705,ZNF431,-98.305452878028163,0.0053709298422289359,98.305452878020162,0.031446540880503145
ENSG00000182141,ZNF708,-58.421570317488893,0.0077207116482040953,58.421570317484843,0.01781970649895178
ENSG00000172687,ZNF738,-210.69634324113784,0.0016784155756965425,210.69634324113744,0.050314465408805034
ENSG00000196268,ZNF493,-35.637561138862523,0.015441423296408191,35.637561138863518,0.024109014675052411
ENSG00000268658,LINC00664,-25.3850888160575,0.0010070493454179255,25.385088816055841,0.0031446540880503146
ENSG00000197013,ZNF429,-124.5871466292043,0.0070493454179254783,124.58714662919699,0.035639412997903561
ENSG00000268555,RP11-678G14.3,64.247300867433921,0.011077542799597181,-64.247300867437275,0.0020964360587002098
ENSG00000268240,RP11-678G14.4,51.720912688845999,0.0050352467270896274,-51.720912688847683,0.0
ENSG00000197020,ZNF100,-151.00882096870561,0.0083920778784827132,151.00882096870916,0.038784067085953881
ENSG00000198521,ZNF43,-115.57193456323522,0.0070493454179254783,115.57193456324028,0.033542976939203356
ENSG00000160321,ZNF208,-47.507671918854818,0.0,47.507671918858343,0.0010482180293501049
ENSG00000197134,ZNF257,-119.13497677259009,0.0016784155756965425,119.13497677260295,0.015723270440251572
ENSG00000229676,ZNF492,-125.03491767478297,0.00067136623027861698,125.03491767476731,0.015723270440251572
ENSG00000183850,ZNF730,-76.779891150042275,0.00067136623027861698,76.779891150040271,0.0073375262054507341
ENSG00000196081,ZNF724P,-45.769874638739516,0.0016784155756965425,45.769874638741044,0.009433962264150943
ENSG00000167232,ZNF91,-190.67438348568072,0.0010070493454179255,190.67438348567529,0.035639412997903561
ENSG00000197372,ZNF675,-192.76593607100747,0.0077207116482040953,192.7659360710185,0.057651991614255764
ENSG00000196172,ZNF681,-75.270949153571607,0.0030211480362537764,75.270949153577462,0.01781970649895178
ENSG00000205246,RPSAP58,-944.15064849664282,0.081570996978851965,944.15064849667942,1.449685534591195
